corpus,universe,nominal_tokens,actual_tokens,sentences,documents,initial_objects,observed_contexts,positive_records,universe_contexts,context_tests,effective_splitters,block_splits,refinement_rounds,membership_queries,final_classes,singleton_classes,nontrivial_classes,objects_in_nontrivial_classes,largest_class,largest_class_ratio,median_class_size,p95_class_size,terminal_objects,terminal_classes,largest_terminal_class,terminal_only_objects,empty_signature_objects,largest_class_excluding_empty_signature,single_context_objects,nontrivial_classes_single_context,nontrivial_classes_multi_context,objects_in_multi_context_classes,largest_multi_context_class,common_objects_prev,changed_pairs_prev,changed_pair_share_prev,pairs_split_prev,pairs_merged_prev,pos_labeled_objects,within_class_pos_purity,within_class_labeled_pairs,pairwise_same_pos_precision,oracle_identical,oracle_classes,v23_ran,v23_classes,v23_largest_class,v23_same_class_pairs,v23_pairs_separated_by_v24,v24_same_class_pairs,v24_pairs_separated_by_v23,v23_accepted_merges,v23_accepted_separated,v23_empty_frame_accepted,v23_empty_frame_accepted_separated,v23_internal_accepted,v23_internal_accepted_separated,table_build_seconds,refinement_seconds,v23_runtime_seconds,peak_rss_mb
pes2o,all_frames,100000,100022,3253,15,108058,287853,288027,287853,108020,107993,107997,2,576054,107998,107975,23,83,35,0.000324,1,1,78,44,35,35,0,35,81604,23,0,0,0,0,0,0.000000,0,0,3253,1.000000,0,-1,1,107998,1,107932,42,986,360,628,2,116,104,59,59,17,11,0.474736,0.069170,3.080900,156.609375
pes2o,internal_only,100000,100022,3253,15,108058,287853,288027,269269,102559,102547,102548,2,538598,102549,102537,12,5521,5499,0.050889,1,1,78,41,38,0,5499,2,77745,11,0,0,0,0,0,0.000000,0,0,3253,0.989856,2016,0.277282,1,102549,1,107932,42,986,282,15116762,15116058,116,104,59,59,17,11,0.474736,0.062258,3.062519,159.828125
pes2o,boundary_frames,100000,100022,3253,15,108058,287853,288027,18584,9876,9851,9854,2,37456,9855,9832,23,98226,98129,0.908114,1,1,78,34,45,45,98129,45,8022,22,0,0,0,0,0,0.000000,0,0,3253,0.552106,2717952,0.264737,1,9855,1,107932,42,986,331,4814602298,4814601643,116,87,59,59,17,3,0.474736,0.019151,3.157779,159.828125
pes2o,all_frames,200000,200020,6630,33,214140,571538,571915,571538,214058,214005,214019,2,1143830,214020,213981,39,159,77,0.000360,1,1,181,105,77,77,0,77,165453,39,0,0,0,108058,105,0.000000,105,0,4844,1.000000,0,-1,1,214020,1,213888,95,4727,1895,2983,151,232,212,128,128,27,18,1.141610,0.168213,14.898304,301.570312
pes2o,internal_only,200000,200020,6630,33,214140,571538,571915,534070,203089,203070,203072,2,1068240,203073,203055,18,11085,11051,0.051606,1,1,181,95,87,0,11051,2,157462,17,0,0,0,108058,1873520,0.000321,1873520,0,4844,0.991742,3081,0.288543,1,203073,1,213888,95,4727,1419,61056792,61053484,232,209,128,128,27,18,1.141610,0.147922,14.257870,306.316406
pes2o,boundary_frames,200000,200020,6630,33,214140,571538,571915,37468,19356,19304,19316,2,75590,19317,19276,41,194864,194663,0.909045,1,1,181,79,103,103,194663,103,15886,40,0,0,0,108058,127981078,0.021921,127980909,169,4844,0.581131,5315451,0.269801,1,19317,1,213888,95,4727,1528,18946749819,18946746620,232,186,128,128,27,6,1.141610,0.051615,13.643832,306.316406
pes2o,all_frames,400000,400036,13054,74,381544,1146724,1147567,1146724,381418,381292,381348,2,2295134,381349,381286,63,258,118,0.000309,1,1,327,210,118,118,0,118,291354,63,0,0,0,214140,231,0.000000,231,0,5994,1.000000,0,-1,1,381349,1,381030,168,14679,7674,7019,14,484,449,232,232,78,67,2.537399,0.320071,233.475628,540.660156
pes2o,internal_only,400000,400036,13054,74,381544,1146724,1147567,1073275,362528,362485,362496,2,2146856,362497,362473,24,19071,19025,0.049863,1,1,327,191,137,0,19025,2,277821,23,0,0,0,214140,7220901,0.000315,7220901,0,5994,0.992159,4560,0.303070,1,362497,1,381030,168,14679,6543,180965823,180957687,484,442,232,232,78,67,2.537399,0.329226,233.683852,555.203125
pes2o,boundary_frames,400000,400036,13054,74,381544,1146724,1147567,73449,34109,33991,34029,2,148278,34030,33949,81,347595,347224,0.910050,1,1,327,157,171,171,347224,171,27449,80,0,0,0,214140,473731103,0.020662,473730433,670,5994,0.610110,7036905,0.269361,1,34030,1,381030,168,14679,5526,60282094280,60282085127,484,376,232,231,78,21,2.537399,0.080648,192.263535,555.203125
pes2o,all_frames,1000000,1000009,33225,174,867768,2842063,2844432,2842063,867569,867138,867289,2,5688864,867290,867108,182,660,238,0.000274,1,1,694,457,238,238,0,238,658990,179,3,6,2,381544,1039,0.000000,1039,0,7630,1.000000,0,-1,1,867290,1,866322,368,69870,41326,28585,41,1318,1205,489,489,312,265,6.243890,0.731030,5431.825050,1201.738281
